BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
521,52130,3,10,101,1,13,-7600
200,20000,3,3,30,1,13,-6300
200,20000,3,7,71,1,13,-5700
200,20000,3,6,63,1,13,-5700
200,20000,3,2,23,1,13,-5100
200,20000,3,1,14,1,13,-5100
200,20000,3,6,65,1,13,-5100
200,20000,3,5,50,1,13,-5100
518,51800,3,6,61,1,13,-5100
200,20000,3,2,23,1,13,-5100
150,15000,3,2,22,0,0,"9999999
"
413,41300,3,7,71,1,13,-2700
453,45300,3,11,114,2,22,-2700
300,30030,3,10,101,2,29,-2200
300,30025,3,11,114,0,0,-2200
502,50200,3,2,25,0,0,"9999999
"
200,20000,3,2,23,0,0,-2200
200,20000,3,0,2,0,0,-2200
521,52100,3,10,101,0,0,-2100
210,21040,3,1,11,0,0,"9999999
"
210,21040,3,0,1,0,0,"9999999
"
210,21040,3,5,50,0,0,-2100
521,52100,3,10,101,0,0,-2100
465,46590,3,11,116,2,22,-2100
465,46530,3,8,81,2,22,-2100
500,50000,3,10,101,2,22,-2100
500,50000,3,6,61,0,0,-2000
300,30015,3,2,22,0,0,"9999999
"
502,50200,3,10,101,0,0,-2000
501,50100,3,8,81,0,0,-2000
210,21040,3,3,30,0,0,"9999999
"
438,43800,3,11,114,0,0,-2000
500,50000,3,11,114,0,0,-1900
413,41300,3,7,71,0,0,-1700
426,42600,3,6,61,2,22,-1600
502,50200,3,10,101,0,0,-1400
210,21050,3,0,2,1,13,-1300
500,50000,3,11,116,1,13,-1300
465,46530,3,10,101,1,13,-500
200,20000,3,6,63,2,28,-100
200,20000,3,10,101,1,13,-100
500,50000,3,7,71,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
260,26058,3,6,65,0,0,"0
"
150,15000,3,3,30,0,0,"0
"
200,20000,3,0,1,0,0,"9999999
"
502,50200,3,10,101,0,0,"0
"
502,50200,3,2,26,0,0,"0
"
515,51500,3,8,81,0,0,"0
"
502,50200,3,5,50,0,0,"0
"
300,30015,3,7,71,2,22,"0
"
210,21040,3,5,50,0,0,"0
"
517,51700,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,26,0,0,"0
"
700,70020,3,10,101,2,23,"0
"
210,21040,3,6,63,0,0,"0
"
465,46590,3,10,101,0,0,"0
"
210,21040,3,3,30,0,0,"0
"
260,26020,3,2,25,0,0,"9999999
"
