BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
200,20000,2,10,101,0,0,"0
"
200,20000,2,11,114,0,0,"0
"
453,45300,1,4,40,0,0,"0
"
260,26030,1,7,71,2,22,"9900
"
413,41300,2,6,63,2,22,"22000
"
150,15000,2,7,71,0,0,"0
"
518,51800,1,3,30,0,0,"20000
"
518,51800,2,6,63,0,0,"9300
"
300,30025,2,10,101,0,0,"0
"
453,45300,1,7,71,0,0,"8400
"
200,20000,2,11,114,0,0,"0
"
453,45300,1,10,101,1,13,"19200
"
413,41300,2,11,115,1,14,"368000
"
600,60094,2,11,115,1,14,"20900
"
453,45300,1,11,116,2,22,"97000
"
410,41000,2,11,116,2,27,"150000
"
250,25000,1,7,71,2,22,"22000
"
453,45300,1,6,63,2,22,"90000
"
513,51300,2,6,64,1,14,"368000
"
513,51300,2,0,2,0,0,"18000
"
210,21040,2,6,63,2,22,"59000
"
210,21040,2,2,26,0,0,"9999999
"
210,21040,1,1,17,0,0,"9999999
"
411,41100,2,11,116,0,0,"38200
"
453,45300,1,6,63,2,22,"48000
"
400,40000,2,10,101,2,22,"130000
"
300,30015,2,5,50,1,14,"68000
"
200,20000,1,10,101,0,0,"0
"
200,20000,1,6,63,1,13,"-7500
"
453,45300,2,6,63,0,0,"17700
"
517,51700,2,6,65,1,13,"4
"
517,51700,2,6,63,0,0,"29000
"
300,30045,1,10,101,2,23,"13000
"
600,60044,1,1,12,0,0,"9999999
"
521,52100,2,10,101,2,23,"35000
"
521,52100,2,11,116,2,25,"49800
"
502,50200,2,11,114,2,27,"48000
"
600,60065,2,4,40,2,22,"24000
"
600,60065,2,4,40,2,22,"28000
"
502,50200,2,6,63,0,0,"18840
"
502,50200,2,2,26,0,0,"27600
"
502,50200,2,6,63,2,28,"36000
"
502,50200,2,6,63,1,14,"16300
"
200,20000,1,10,101,1,14,"74200
"
453,45300,1,6,64,2,28,"57000
"
200,20000,2,2,23,2,22,"45000
"
260,26010,2,6,61,2,28,"36000
"
260,26010,2,6,61,2,28,"30830
"
453,45300,2,10,101,2,22,"75000
"
421,42100,1,8,81,2,22,"35000
"
515,51500,2,10,101,2,22,"60000
"
515,51500,2,6,63,2,22,"40000
"
200,20000,2,2,25,1,14,"44400
"
200,20000,2,10,101,0,0,"0
"
210,21040,2,6,64,2,22,"23000
"
453,45300,2,10,101,0,0,"0
"
210,21070,1,11,116,2,27,"89000
"
518,51800,2,2,25,1,14,"25000
"
521,52100,2,10,101,2,22,"36000
"
521,52100,2,11,114,2,22,"14000
"
521,52100,2,10,101,2,22,"45000
"
521,52100,2,10,101,2,22,"52000
"
502,50200,1,7,71,2,23,"4500
"
600,60032,2,6,63,2,23,"46000
"
517,51700,1,7,71,2,22,"28000
"
150,15000,1,8,81,2,23,"0
"
515,51500,2,10,101,1,13,"25500
"
524,52400,2,10,101,1,13,"50000
"
522,52200,1,11,114,2,22,"100000
"
200,20000,1,2,26,0,0,"0
"
210,21040,2,8,81,2,28,"23500
"
260,26010,2,6,61,2,23,"18800
"
260,26020,1,6,61,2,22,"27300
"
500,50000,2,6,63,1,13,"115000
"
500,50000,2,11,116,2,27,"57500
"
500,50000,2,10,101,2,27,"48000
"
210,21040,2,0,2,2,22,"31000
"
453,45300,1,10,101,2,25,"61000
"
453,45300,1,1,17,0,0,"9999999
"
453,45300,1,2,25,0,0,"9999999
"
501,50100,2,6,63,0,0,"24000
"
410,41000,2,11,114,0,0,"44000
"
453,45300,1,7,71,2,22,"78000
"
453,45300,2,10,101,2,23,"29000
"
453,45300,2,8,81,0,0,"1700
"
502,50200,2,10,101,2,23,"4000
"
518,51800,2,0,2,1,13,"23400
"
457,45700,2,11,114,2,22,"130200
"
453,45300,2,11,114,0,0,"16000
"
502,50200,1,6,63,2,22,"51000
"
502,50200,2,6,63,0,0,"0
"
210,21070,1,10,101,0,0,"0
"
210,21070,1,6,65,2,22,"0
"
453,45300,1,2,26,0,0,"0
"
600,60045,1,6,65,2,22,"15000
"
413,41300,2,11,116,2,27,"120000
"
453,45300,1,11,114,2,28,"45900
"
524,52400,2,6,64,1,13,"13000
"
524,52400,2,6,64,1,13,"25000
"
200,20000,2,5,50,2,22,"36000
"
453,45300,2,4,40,0,0,"15700
"
453,45300,1,8,81,2,22,"15000
"
600,60034,2,10,101,2,22,"79000
"
600,60034,2,11,114,2,27,"20000
"
700,70010,1,0,2,0,0,"9999999
"
413,41300,1,1,14,0,0,"9999999
"
515,51500,2,11,115,0,0,"87600
"
515,51500,2,11,115,0,0,"87660
"
600,60072,2,10,101,2,22,"56000
"
600,60072,1,2,22,0,0,"0
"
150,15000,2,10,101,2,22,"59000
"
521,52100,2,11,115,2,22,"391000
"
600,60027,2,10,101,1,14,"19800
"
600,60027,2,10,101,1,14,"28900
"
521,52140,2,6,63,2,22,"34000
"
515,51500,2,6,64,0,0,"0
"
522,52200,2,11,114,2,22,"0
"
522,52200,2,11,115,2,22,"13000
"
502,50200,2,6,63,0,0,"0
"
300,30025,2,11,114,2,22,"32000
"
501,50100,1,7,71,2,22,"2000
"
260,26060,2,11,116,2,23,"30500
"
260,26060,2,11,114,0,0,"39900
"
502,50200,2,8,81,2,22,"60000
"
413,41300,1,3,30,2,22,"20800
"
502,50200,2,6,63,2,22,"60000
"
453,45300,1,7,71,2,22,"32000
"
600,60031,2,10,101,2,22,"20000
"
521,52100,2,4,40,1,14,"80200
"
521,52100,2,3,30,2,22,"30000
"
521,52100,2,8,81,1,14,"30000
"
542,54200,1,7,71,2,22,"400
"
521,52100,2,4,40,0,0,"0
"
521,52100,2,6,63,2,22,"50000
"
250,25000,1,10,101,0,0,"17800
"
410,41000,2,6,63,0,0,"10000
"
453,45300,1,6,63,0,0,"0
"
405,40500,1,11,114,2,28,"47720
"
453,45300,1,8,81,2,23,"50000
"
600,60031,2,7,71,2,22,"15000
"
453,45300,1,11,114,2,22,"39000
"
453,45300,1,6,65,2,22,"24000
"
453,45300,1,1,15,0,0,"9999999
"
410,41000,1,11,114,2,22,"240000
"
410,41000,1,6,65,2,22,"9400
"
500,50000,2,11,114,1,13,"30
"
501,50100,1,6,63,2,22,"48700
"
453,45300,1,11,116,2,22,"82000
"
413,41300,2,6,63,2,22,"40000
"
501,50100,1,0,1,0,0,"9999999
"
453,45300,1,11,114,2,23,"12300
"
502,50200,2,11,114,2,22,"134300
"
502,50200,2,6,63,1,13,"30000
"
502,50200,2,6,65,0,0,"0
"
540,54000,1,11,114,0,0,"0
"
501,50100,1,10,101,2,22,"30000
"
453,45300,2,10,101,0,0,"22200
"
455,45500,2,6,63,0,0,"19800
"
465,46530,2,5,50,2,22,"4000
"
200,20000,1,6,63,0,0,"19600
"
450,45000,2,10,101,0,0,"0
"
413,41300,1,7,71,2,22,"62000
"
502,50200,1,2,22,0,0,"9999999
"
410,41000,2,11,114,2,22,"28000
"
521,52140,2,8,81,2,27,"50000
"
453,45300,1,6,63,2,22,"20000
"
200,20000,2,6,63,2,22,"20000
"
600,60012,2,11,115,2,22,"160000
"
600,60012,2,10,101,2,22,"7200
"
210,21040,1,0,2,2,27,"37000
"
210,21040,1,0,2,2,28,"60000
"
210,21040,1,11,114,2,22,"28000
"
210,21040,1,2,26,0,0,"0
"
210,21040,1,7,71,2,22,"0
"
210,21040,1,3,30,0,0,"0
"
210,21040,1,1,12,0,0,"9999999
"
200,20000,2,6,63,2,22,"60000
"
200,20000,2,6,63,1,13,"50000
"
200,20000,2,11,114,1,13,"400
"
300,30020,2,10,101,0,0,"34400
"
200,20000,2,0,2,2,22,"44000
"
200,20000,2,0,2,0,0,"0
"
453,45300,1,6,64,0,0,"0
"
515,51500,2,11,114,2,22,"43300
"
515,51500,1,11,114,2,22,"42000
"
453,45300,1,6,64,2,22,"60000
"
502,50200,2,6,64,0,0,"11900
"
515,51500,2,10,101,0,0,"12600
"
515,51500,2,10,101,2,22,"3800
"
456,45600,2,11,115,1,14,"40000
"
453,45300,1,10,101,2,22,"101000
"
